Month,heater: (United States)
2004-01,46
2004-02,32
2004-03,25
2004-04,22
2004-05,22
2004-06,22
2004-07,23
2004-08,25
2004-09,27
2004-10,37
2004-11,44
2004-12,51
2005-01,46
2005-02,32
2005-03,28
2005-04,24
2005-05,24
2005-06,23
2005-07,21
2005-08,24
2005-09,29
2005-10,46
2005-11,46
2005-12,58
2006-01,37
2006-02,33
2006-03,28
2006-04,24
2006-05,24
2006-06,22
2006-07,23
2006-08,23
2006-09,29
2006-10,41
2006-11,41
2006-12,46
2007-01,45
2007-02,40
2007-03,28
2007-04,25
2007-05,22
2007-06,22
2007-07,22
2007-08,23
2007-09,26
2007-10,36
2007-11,47
2007-12,49
2008-01,47
2008-02,35
2008-03,29
2008-04,26
2008-05,26
2008-06,26
2008-07,25
2008-08,25
2008-09,29
2008-10,44
2008-11,50
2008-12,55
2009-01,51
2009-02,38
2009-03,30
2009-04,27
2009-05,25
2009-06,25
2009-07,23
2009-08,23
2009-09,29
2009-10,44
2009-11,41
2009-12,58
2010-01,54
2010-02,40
2010-03,32
2010-04,26
2010-05,25
2010-06,23
2010-07,20
2010-08,22
2010-09,25
2010-10,36
2010-11,48
2010-12,57
2011-01,54
2011-02,43
2011-03,32
2011-04,27
2011-05,26
2011-06,25
2011-07,23
2011-08,24
2011-09,30
2011-10,45
2011-11,55
2011-12,57
2012-01,51
2012-02,36
2012-03,30
2012-04,26
2012-05,24
2012-06,24
2012-07,23
2012-08,24
2012-09,29
2012-10,44
2012-11,55
2012-12,51
2013-01,55
2013-02,40
2013-03,36
2013-04,29
2013-05,27
2013-06,25
2013-07,24
2013-08,25
2013-09,31
2013-10,47
2013-11,64
2013-12,68
2014-01,71
2014-02,51
2014-03,37
2014-04,30
2014-05,29
2014-06,27
2014-07,27
2014-08,28
2014-09,34
2014-10,46
2014-11,80
2014-12,57
2015-01,66
2015-02,56
2015-03,39
2015-04,32
2015-05,31
2015-06,30
2015-07,29
2015-08,30
2015-09,34
2015-10,50
2015-11,64
2015-12,61
2016-01,73
2016-02,49
2016-03,37
2016-04,35
2016-05,34
2016-06,32
2016-07,31
2016-08,31
2016-09,36
2016-10,52
2016-11,68
2016-12,93
2017-01,71
2017-02,48
2017-03,43
2017-04,36
2017-05,36
2017-06,35
2017-07,34
2017-08,34
2017-09,41
2017-10,59
2017-11,77
2017-12,100
2018-01,98
2018-02,58
2018-03,49
2018-04,43
2018-05,39
2018-06,37
2018-07,36
2018-08,37
2018-09,42
2018-10,69
2018-11,96
2018-12,85
2019-01,88
2019-02,69
2019-03,54
2019-04,43
2019-05,40
2019-06,39
2019-07,37
2019-08,37
2019-09,41
2019-10,72
2019-11,100
2019-12,82
2020-01,73
2020-02,62
2020-03,45
2020-04,44
2020-05,48
2020-06,42
